type,release_year,rating,country,show_id,title,director,cast,date_added,duration,listed_in,description
Movie TV\ Show,<\ 2015.5 2015.5\ -\ 2016.5 2016.5\ -\ 2017.5 2017.5\ -\ 2018.5 2018.5\ -\ 2019.5 ≥\ 2019.5,G NC-17 NR PG PG-13 R TV-14 TV-G TV-MA TV-PG TV-Y TV-Y7 TV-Y7-FV UR,"Argentina Argentina,\ Brazil,\ France,\ Poland,\ Germany,\ Denmark Argentina,\ Chile Argentina,\ Chile,\ Peru Argentina,\ France Argentina,\ France,\ United\ States,\ Germany,\ Qatar Argentina,\ Italy Argentina,\ Spain Argentina,\ United\ States Argentina,\ United\ States,\ Mexico Argentina,\ Uruguay,\ Serbia Argentina,\ Uruguay,\ Spain,\ France Australia Australia,\ Armenia,\ Japan,\ Jordan,\ Mexico,\ Mongolia,\ New\ Zealand,\ Philippines,\ South\ Africa,\ Sweden,\ United\ States,\ Uruguay Australia,\ Canada Australia,\ France Australia,\ France,\ Ireland Australia,\ India Australia,\ Iraq Australia,\ New\ Zealand Australia,\ New\ Zealand,\ United\ States Australia,\ United\ Arab\ Emirates Australia,\ United\ Kingdom Australia,\ United\ Kingdom,\ Canada Australia,\ United\ Kingdom,\ United\ Arab\ Emirates,\ Canada Australia,\ United\ Kingdom,\ United\ States,\ New\ Zealand,\ Italy,\ France Australia,\ United\ States Austria Austria,\ Czech\ Republic Austria,\ Germany Austria,\ Iraq,\ United\ States Austria,\ United\ States Bangladesh Belarus Belgium Belgium,\ France Belgium,\ Ireland,\ Netherlands,\ Germany,\ Afghanistan Belgium,\ Netherlands Belgium,\ United\ Kingdom,\ United\ States Brazil Brazil,\ France Brazil,\ France,\ Germany Brazil,\ India,\ China,\ United\ States Brazil,\ Netherlands,\ United\ States,\ Colombia,\ Austria,\ Germany Brazil,\ United\ Kingdom Brazil,\ United\ States Bulgaria Bulgaria,\ United\ States Bulgaria,\ United\ States,\ Spain,\ Canada Cambodia Cambodia,\ United\ States Canada Canada,\ Australia Canada,\ Belgium Canada,\ Brazil Canada,\ France Canada,\ France,\ Italy,\ Morocco,\ United\ States Canada,\ France,\ United\ States Canada,\ Germany Canada,\ Germany,\ France,\ United\ States Canada,\ Germany,\ South\ Africa Canada,\ Hungary,\ United\ States Canada,\ India Canada,\ India,\ Thailand,\ United\ States,\ United\ Arab\ Emirates Canada,\ Ireland,\ United\ States Canada,\ Japan,\ Netherlands Canada,\ Japan,\ United\ States Canada,\ Luxembourg Canada,\ Mexico,\ Germany,\ South\ Africa Canada,\ Nigeria Canada,\ Norway Canada,\ South\ Africa Canada,\ South\ Korea,\ United\ States Canada,\ Spain Canada,\ Spain,\ France Canada,\ United\ Kingdom Canada,\ United\ Kingdom,\ Netherlands Canada,\ United\ Kingdom,\ United\ States Canada,\ United\ States Canada,\ United\ States,\ Cayman\ Islands Canada,\ United\ States,\ France Canada,\ United\ States,\ Germany Canada,\ United\ States,\ India,\ United\ Kingdom Canada,\ United\ States,\ Ireland Canada,\ United\ States,\ United\ Kingdom Canada,\ United\ States,\ United\ Kingdom,\ France,\ Luxembourg Chile Chile,\ Argentina Chile,\ Argentina,\ France,\ Spain,\ United\ States Chile,\ France Chile,\ Italy Chile,\ Peru Chile,\ Spain,\ Argentina,\ Germany Chile,\ United\ States,\ France China China,\ Canada,\ United\ States China,\ Germany,\ India,\ United\ States China,\ Hong\ Kong China,\ Hong\ Kong,\ United\ States China,\ India,\ Nepal China,\ Japan China,\ Morocco,\ Hong\ Kong China,\ South\ Korea,\ United\ States China,\ Spain,\ South\ Korea,\ United\ States China,\ Taiwan China,\ United\ Kingdom China,\ United\ States China,\ United\ States,\ Australia China,\ United\ States,\ United\ Kingdom Colombia Colombia,\ Mexico Colombia,\ Mexico,\ United\ States Colombia,\ Peru,\ United\ Kingdom Colombia,\ United\ States Croatia Croatia,\ Slovenia,\ Serbia,\ Montenegro Cyprus Czech\ Republic,\ France Czech\ Republic,\ Slovakia Czech\ Republic,\ United\ Kingdom,\ France Czech\ Republic,\ United\ States Denmark Denmark,\ Brazil,\ France,\ Portugal,\ Sweden Denmark,\ China Denmark,\ France,\ Belgium,\ Italy,\ Netherlands,\ United\ States,\ United\ Kingdom Denmark,\ France,\ Poland Denmark,\ France,\ United\ States,\ Sweden Denmark,\ Germany,\ Belgium,\ United\ Kingdom,\ France Denmark,\ Germany,\ Belgium,\ United\ Kingdom,\ France,\ Sweden Denmark,\ Indonesia,\ Finland,\ Norway,\ United\ Kingdom,\ Israel,\ France,\ United\ States,\ Germany,\ Netherlands Denmark,\ Singapore,\ Canada,\ United\ States Denmark,\ Spain Denmark,\ Sweden,\ Israel,\ United\ States Denmark,\ United\ Kingdom,\ South\ Africa,\ Sweden,\ Belgium Denmark,\ United\ Kingdom,\ Sweden Denmark,\ United\ States Denmark,\ Zimbabwe Egypt Egypt,\ Algeria Egypt,\ Austria,\ United\ States Egypt,\ France Finland Finland,\ France Finland,\ Germany Finland,\ Germany,\ Belgium Finland,\ Sweden,\ Norway,\ Latvia,\ Germany Finland,\ United\ States France France,\ Algeria France,\ Australia,\ Germany France,\ Belgium France,\ Belgium,\ China,\ United\ States France,\ Belgium,\ Italy France,\ Belgium,\ Luxembourg,\ Cambodia, France,\ Belgium,\ Luxembourg,\ Romania,\ Canada,\ United\ States France,\ Belgium,\ Spain France,\ Belgium,\ United\ States France,\ Brazil,\ Spain,\ Belgium France,\ Canada France,\ Canada,\ Belgium France,\ Canada,\ China,\ Cambodia France,\ Canada,\ Italy,\ United\ States,\ China France,\ Canada,\ United\ States France,\ China,\ Japan,\ United\ States France,\ Egypt France,\ Germany France,\ Germany,\ Czech\ Republic,\ Belgium France,\ Germany,\ Switzerland France,\ Iran,\ United\ States France,\ Japan France,\ Japan,\ United\ States France,\ Lebanon France,\ Lebanon,\ United\ Kingdom France,\ Luxembourg,\ Canada France,\ Luxembourg,\ United\ States France,\ Malta,\ United\ States France,\ Morocco France,\ Netherlands,\ Singapore France,\ Netherlands,\ South\ Africa,\ Finland France,\ New\ Zealand France,\ Norway,\ Lebanon,\ Belgium France,\ Qatar France,\ Senegal,\ Belgium France,\ South\ Korea,\ Japan France,\ Switzerland,\ Spain,\ United\ States,\ United\ Arab\ Emirates France,\ United\ Kingdom France,\ United\ Kingdom,\ India France,\ United\ Kingdom,\ United\ States France,\ United\ States France,\ United\ States,\ Canada France,\ United\ States,\ Mexico Georgia Georgia,\ Germany,\ France Germany Germany,\ Australia Germany,\ Australia,\ France,\ China Germany,\ Belgium Germany,\ Canada,\ United\ States Germany,\ China,\ United\ Kingdom Germany,\ Czech\ Republic Germany,\ France,\ Luxembourg,\ United\ Kingdom,\ United\ States Germany,\ France,\ Russia Germany,\ France,\ United\ States,\ Canada,\ United\ Kingdom Germany,\ Italy Germany,\ Jordan,\ Netherlands Germany,\ Sri\ Lanka Germany,\ United\ Kingdom Germany,\ United\ Kingdom,\ United\ States Germany,\ United\ States Germany,\ United\ States,\ Canada Germany,\ United\ States,\ France Germany,\ United\ States,\ Hong\ Kong,\ Singapore Germany,\ United\ States,\ Italy Germany,\ United\ States,\ Sweden Germany,\ United\ States,\ United\ Kingdom,\ Canada Ghana Ghana,\ United\ States Greece,\ United\ States Guatemala Hong\ Kong Hong\ Kong,\ China Hong\ Kong,\ China,\ Singapore Hong\ Kong,\ China,\ United\ States Hong\ Kong,\ Iceland,\ United\ States Hong\ Kong,\ Taiwan Hong\ Kong,\ United\ States Hungary Iceland Iceland,\ Sweden,\ Belgium India India,\ Australia India,\ Canada India,\ France India,\ Germany India,\ Germany,\ Austria India,\ Germany,\ France India,\ Iran India,\ Japan India,\ Malaysia India,\ Mexico India,\ Nepal India,\ Pakistan India,\ Soviet\ Union India,\ Switzerland India,\ Turkey India,\ United\ Kingdom India,\ United\ Kingdom,\ Canada,\ United\ States India,\ United\ Kingdom,\ China,\ Canada,\ Japan,\ South\ Korea,\ United\ States India,\ United\ States Indonesia Indonesia,\ Netherlands Indonesia,\ Singapore Indonesia,\ South\ Korea,\ Singapore Indonesia,\ United\ Kingdom Indonesia,\ United\ States Iran,\ France Ireland Ireland,\ Canada Ireland,\ Canada,\ Luxembourg,\ United\ States,\ United\ Kingdom,\ Philippines,\ India Ireland,\ Canada,\ United\ Kingdom,\ United\ States Ireland,\ Canada,\ United\ States,\ United\ Kingdom Ireland,\ France,\ Iceland,\ United\ States,\ Mexico,\ Belgium,\ United\ Kingdom,\ Hong\ Kong Ireland,\ Luxembourg,\ Belgium Ireland,\ South\ Africa Ireland,\ United\ Kingdom Ireland,\ United\ Kingdom,\ Greece,\ France,\ Netherlands Ireland,\ United\ Kingdom,\ Italy,\ United\ States Ireland,\ United\ Kingdom,\ United\ States Ireland,\ United\ States Ireland,\ United\ States,\ France Israel Israel,\ Germany Israel,\ Germany,\ France Israel,\ Germany,\ Poland,\ Luxembourg,\ Belgium,\ France,\ United\ States Israel,\ Sweden,\ Germany,\ Netherlands Israel,\ United\ States Italy Italy,\ Belgium Italy,\ Canada,\ France Italy,\ France Italy,\ France,\ Switzerland Italy,\ Germany Italy,\ India Italy,\ South\ Africa,\ West\ Germany,\ Australia,\ United\ States Italy,\ Switzerland,\ Albania,\ Poland Italy,\ Switzerland,\ France,\ Germany Italy,\ Turkey Italy,\ United\ Kingdom,\ France Italy,\ United\ States Italy,\ United\ States,\ Argentina Jamaica,\ United\ States Japan Japan,\ Canada Japan,\ Canada,\ United\ States Japan,\ United\ States Jordan Kenya Kenya,\ United\ States Kuwait Lebanon Lebanon,\ Canada,\ France Lebanon,\ France Lebanon,\ Qatar Lebanon,\ United\ Arab\ Emirates,\ France,\ Switzerland,\ Germany Lebanon,\ United\ States,\ United\ Arab\ Emirates Malaysia Malaysia,\ Singapore,\ Hong\ Kong Mauritius,\ South\ Africa Mexico Mexico,\ Argentina Mexico,\ Finland Mexico,\ France Mexico,\ Netherlands Mexico,\ Spain Mexico,\ United\ States Mexico,\ United\ States,\ Spain,\ Colombia Namibia Netherlands Netherlands,\ Belgium Netherlands,\ Belgium,\ Germany,\ Jordan Netherlands,\ Belgium,\ United\ Kingdom,\ United\ States Netherlands,\ Denmark,\ France,\ Germany Netherlands,\ Denmark,\ South\ Africa Netherlands,\ Germany,\ Denmark,\ United\ Kingdom Netherlands,\ Germany,\ Italy,\ Canada Netherlands,\ United\ States New\ Zealand New\ Zealand,\ United\ Kingdom New\ Zealand,\ United\ Kingdom,\ Australia New\ Zealand,\ United\ States Nigeria Nigeria,\ United\ Kingdom Norway Norway,\ Denmark Norway,\ Denmark,\ Netherlands,\ Sweden Norway,\ Denmark,\ Sweden Norway,\ Germany Norway,\ Germany,\ Sweden Norway,\ Iceland,\ United\ States Norway,\ Sweden Norway,\ United\ Kingdom,\ France,\ Ireland Norway,\ United\ States Pakistan Pakistan,\ Norway,\ United\ States Pakistan,\ United\ Arab\ Emirates Pakistan,\ United\ States Paraguay,\ Argentina Peru Peru,\ Germany,\ Norway Peru,\ United\ States,\ United\ Kingdom Philippines Philippines,\ Canada,\ United\ Kingdom,\ United\ States Philippines,\ Qatar Philippines,\ Singapore Philippines,\ United\ States Poland Poland, Poland,\ United\ States Poland,\ West\ Germany Portugal,\ France,\ Poland,\ United\ States Portugal,\ Spain Puerto\ Rico,\ United\ States,\ Colombia Romania Romania,\ Bulgaria,\ Hungary Romania,\ France,\ Switzerland,\ Germany Romania,\ United\ Kingdom Romania,\ United\ States Russia Russia,\ Poland,\ Serbia Russia,\ Spain Russia,\ United\ States Russia,\ United\ States,\ China Saudi\ Arabia Saudi\ Arabia,\ Netherlands,\ Germany,\ Jordan,\ United\ Arab\ Emirates,\ United\ States Saudi\ Arabia,\ Syria,\ Egypt,\ Lebanon,\ Kuwait Saudi\ Arabia,\ United\ Arab\ Emirates Senegal Serbia,\ South\ Korea,\ Slovenia Serbia,\ United\ States Singapore Singapore,\ France Singapore,\ Japan,\ France Singapore,\ Malaysia Singapore,\ United\ States Slovenia,\ Croatia,\ Germany,\ Czech\ Republic,\ Qatar Somalia,\ Kenya,\ Sudan,\ South\ Africa,\ United\ States South\ Africa South\ Africa,\ Angola South\ Africa,\ China,\ United\ States South\ Africa,\ Germany,\ Netherlands,\ France South\ Africa,\ Nigeria South\ Africa,\ United\ States South\ Africa,\ United\ States,\ Germany South\ Africa,\ United\ States,\ New\ Zealand,\ Canada South\ Korea South\ Korea,\ Canada,\ United\ States,\ China South\ Korea,\ China South\ Korea,\ China,\ United\ States South\ Korea,\ Czech\ Republic South\ Korea,\ France South\ Korea,\ Japan South\ Korea,\ United\ States Soviet\ Union,\ India Spain Spain,\ Argentina Spain,\ Belgium Spain,\ Belgium,\ Switzerland,\ United\ States,\ China,\ United\ Kingdom Spain,\ Canada,\ United\ States Spain,\ Colombia Spain,\ Cuba Spain,\ France Spain,\ France,\ Canada Spain,\ France,\ Canada,\ United\ States Spain,\ France,\ Italy Spain,\ France,\ United\ States Spain,\ France,\ Uruguay Spain,\ Germany Spain,\ Germany,\ Denmark,\ United\ States Spain,\ Italy Spain,\ Italy,\ Argentina Spain,\ Mexico Spain,\ Mexico,\ France Spain,\ Portugal Spain,\ Switzerland Spain,\ Thailand,\ United\ States Spain,\ United\ Kingdom Spain,\ United\ Kingdom,\ United\ States Spain,\ United\ States Sweden Sweden,\ Czech\ Republic,\ United\ Kingdom,\ Denmark,\ Netherlands Sweden,\ Netherlands Sweden,\ United\ Kingdom,\ Finland Sweden,\ United\ States Switzerland Switzerland,\ France Switzerland,\ France,\ Belgium,\ United\ States Switzerland,\ United\ Kingdom,\ United\ States Switzerland,\ United\ States Switzerland,\ Vatican\ City,\ Italy,\ Germany,\ France Taiwan Taiwan,\ China Taiwan,\ China,\ France,\ United\ States Taiwan,\ Hong\ Kong,\ United\ States,\ China Taiwan,\ Malaysia Thailand Thailand,\ Canada,\ United\ States Thailand,\ China,\ United\ States Thailand,\ United\ States Turkey Turkey,\ Azerbaijan Turkey,\ France,\ Germany,\ Poland Turkey,\ India Turkey,\ South\ Korea Turkey,\ United\ States Ukraine United\ Arab\ Emirates United\ Arab\ Emirates,\ Jordan United\ Arab\ Emirates,\ Jordan,\ Lebanon United\ Arab\ Emirates,\ Romania United\ Arab\ Emirates,\ United\ Kingdom,\ India United\ Arab\ Emirates,\ United\ States United\ Arab\ Emirates,\ United\ States,\ United\ Kingdom United\ Kingdom United\ Kingdom, United\ Kingdom,\ Australia United\ Kingdom,\ Australia,\ Canada,\ United\ States United\ Kingdom,\ Belgium United\ Kingdom,\ Belgium,\ Sweden United\ Kingdom,\ Brazil,\ Germany United\ Kingdom,\ Canada United\ Kingdom,\ Canada,\ France,\ United\ States United\ Kingdom,\ Canada,\ Italy United\ Kingdom,\ Canada,\ Japan United\ Kingdom,\ Canada,\ United\ States United\ Kingdom,\ Canada,\ United\ States,\ Cayman\ Islands United\ Kingdom,\ Canada,\ United\ States,\ Germany United\ Kingdom,\ China United\ Kingdom,\ China,\ United\ States United\ Kingdom,\ China,\ United\ States,\ India United\ Kingdom,\ Czech\ Republic,\ Germany,\ United\ States United\ Kingdom,\ Czech\ Republic,\ United\ States,\ Germany,\ Bahamas United\ Kingdom,\ Denmark,\ Canada,\ Croatia United\ Kingdom,\ Egypt,\ United\ States United\ Kingdom,\ Finland,\ Germany United\ Kingdom,\ France United\ Kingdom,\ France,\ Belgium United\ Kingdom,\ France,\ Belgium,\ Canada,\ United\ States United\ Kingdom,\ France,\ Belgium,\ United\ States United\ Kingdom,\ France,\ Belgium,\ United\ States,\ China United\ Kingdom,\ France,\ Canada,\ Belgium,\ United\ States United\ Kingdom,\ France,\ Germany United\ Kingdom,\ France,\ Germany,\ Spain United\ Kingdom,\ France,\ Germany,\ United\ States United\ Kingdom,\ France,\ United\ States United\ Kingdom,\ France,\ United\ States,\ Belgium United\ Kingdom,\ France,\ United\ States,\ Belgium,\ Luxembourg,\ China,\ Germany United\ Kingdom,\ Germany United\ Kingdom,\ Germany,\ Canada United\ Kingdom,\ Germany,\ Canada,\ United\ States United\ Kingdom,\ Germany,\ France,\ United\ States United\ Kingdom,\ Germany,\ United\ Arab\ Emirates,\ New\ Zealand United\ Kingdom,\ Germany,\ United\ States United\ Kingdom,\ Germany,\ United\ States,\ France United\ Kingdom,\ Hong\ Kong United\ Kingdom,\ Hungary,\ Australia United\ Kingdom,\ India United\ Kingdom,\ India,\ Sweden United\ Kingdom,\ India,\ United\ States United\ Kingdom,\ Ireland United\ Kingdom,\ Ireland,\ United\ States United\ Kingdom,\ Israel,\ Russia United\ Kingdom,\ Italy United\ Kingdom,\ Italy,\ Israel,\ Peru,\ United\ States United\ Kingdom,\ Japan,\ United\ States United\ Kingdom,\ Jordan,\ Qatar,\ Iran United\ Kingdom,\ Kenya United\ Kingdom,\ Lithuania United\ Kingdom,\ Malawi United\ Kingdom,\ Namibia,\ South\ Africa,\ Zimbabwe,\ United\ States United\ Kingdom,\ New\ Zealand United\ Kingdom,\ Nigeria United\ Kingdom,\ Norway,\ Denmark,\ Germany,\ Sweden United\ Kingdom,\ Pakistan United\ Kingdom,\ Poland United\ Kingdom,\ Poland,\ United\ States United\ Kingdom,\ Russia United\ Kingdom,\ Russia,\ United\ States United\ Kingdom,\ Singapore United\ Kingdom,\ South\ Africa United\ Kingdom,\ South\ Africa,\ Australia,\ United\ States United\ Kingdom,\ South\ Korea United\ Kingdom,\ Spain United\ Kingdom,\ Spain,\ Belgium United\ Kingdom,\ Spain,\ United\ States United\ Kingdom,\ Spain,\ United\ States,\ Germany United\ Kingdom,\ Thailand United\ Kingdom,\ Ukraine,\ United\ States United\ Kingdom,\ United\ States United\ Kingdom,\ United\ States,\ Australia United\ Kingdom,\ United\ States,\ Canada United\ Kingdom,\ United\ States,\ Czech\ Republic United\ Kingdom,\ United\ States,\ Dominican\ Republic United\ Kingdom,\ United\ States,\ France United\ Kingdom,\ United\ States,\ France,\ Germany United\ Kingdom,\ United\ States,\ Germany,\ Denmark,\ Belgium,\ Japan United\ Kingdom,\ United\ States,\ Japan United\ Kingdom,\ United\ States,\ Morocco United\ Kingdom,\ United\ States,\ Spain,\ Germany,\ Greece,\ Canada United\ Kingdom,\ West\ Germany United\ States United\ States, United\ States,\ Argentina United\ States,\ Australia United\ States,\ Australia,\ China United\ States,\ Australia,\ Mexico United\ States,\ Australia,\ Samoa,\ United\ Kingdom United\ States,\ Australia,\ South\ Africa,\ United\ Kingdom United\ States,\ Belgium,\ Canada United\ States,\ Bermuda,\ Ecuador United\ States,\ Botswana United\ States,\ Brazil United\ States,\ Brazil,\ India,\ Uganda,\ China United\ States,\ Brazil,\ South\ Korea,\ Mexico,\ Japan,\ Germany United\ States,\ Bulgaria United\ States,\ Cambodia United\ States,\ Canada United\ States,\ Canada,\ Belgium,\ United\ Kingdom United\ States,\ Canada,\ China United\ States,\ Canada,\ France United\ States,\ Canada,\ Germany United\ States,\ Canada,\ Indonesia,\ United\ Kingdom,\ China,\ Singapore United\ States,\ Canada,\ Ireland United\ States,\ Canada,\ Japan,\ Panama United\ States,\ Canada,\ United\ Kingdom United\ States,\ Chile United\ States,\ Chile,\ Israel United\ States,\ China United\ States,\ China,\ Canada United\ States,\ China,\ Colombia United\ States,\ China,\ Hong\ Kong United\ States,\ Colombia United\ States,\ Colombia,\ Mexico United\ States,\ Czech\ Republic United\ States,\ Czech\ Republic,\ United\ Kingdom United\ States,\ Denmark United\ States,\ East\ Germany,\ West\ Germany United\ States,\ France United\ States,\ France,\ Canada United\ States,\ France,\ Canada,\ Belgium United\ States,\ France,\ Canada,\ Lebanon,\ Qatar United\ States,\ France,\ Canada,\ Spain United\ States,\ France,\ Italy,\ United\ Kingdom United\ States,\ France,\ Japan United\ States,\ France,\ Mexico United\ States,\ France,\ Serbia United\ States,\ France,\ South\ Korea,\ Indonesia United\ States,\ France,\ United\ Kingdom,\ Japan United\ States,\ Germany United\ States,\ Germany,\ Australia United\ States,\ Germany,\ Canada United\ States,\ Germany,\ Mexico United\ States,\ Germany,\ United\ Kingdom United\ States,\ Germany,\ United\ Kingdom,\ Australia United\ States,\ Germany,\ United\ Kingdom,\ Italy United\ States,\ Greece United\ States,\ Greece,\ Brazil United\ States,\ Greece,\ United\ Kingdom United\ States,\ Hong\ Kong United\ States,\ Hungary United\ States,\ Hungary,\ Ireland,\ Canada United\ States,\ Iceland United\ States,\ India United\ States,\ India,\ Bangladesh United\ States,\ India,\ South\ Korea,\ China United\ States,\ India,\ United\ Arab\ Emirates United\ States,\ Indonesia United\ States,\ Ireland United\ States,\ Ireland,\ United\ Kingdom,\ India United\ States,\ Israel,\ Italy,\ South\ Africa United\ States,\ Israel,\ United\ Kingdom,\ Canada United\ States,\ Italy United\ States,\ Italy,\ United\ Kingdom,\ Liechtenstein United\ States,\ Japan United\ States,\ Japan,\ Canada United\ States,\ Kazakhstan United\ States,\ Malta,\ France,\ United\ Kingdom United\ States,\ Mexico United\ States,\ Mexico,\ Colombia United\ States,\ Mexico,\ Spain,\ Malta United\ States,\ Morocco United\ States,\ Netherlands,\ Japan,\ France United\ States,\ New\ Zealand United\ States,\ New\ Zealand,\ Japan United\ States,\ New\ Zealand,\ United\ Kingdom United\ States,\ Nicaragua United\ States,\ Nigeria United\ States,\ Norway,\ Canada United\ States,\ Philippines United\ States,\ Poland United\ States,\ Russia United\ States,\ Senegal United\ States,\ South\ Africa United\ States,\ South\ Korea United\ States,\ South\ Korea,\ China United\ States,\ South\ Korea,\ Japan United\ States,\ Spain United\ States,\ Spain,\ Germany United\ States,\ Spain,\ Italy United\ States,\ Sweden United\ States,\ Sweden,\ Norway United\ States,\ Taiwan United\ States,\ Thailand United\ States,\ United\ Arab\ Emirates United\ States,\ United\ Kingdom United\ States,\ United\ Kingdom,\ Australia United\ States,\ United\ Kingdom,\ Canada United\ States,\ United\ Kingdom,\ Canada,\ China United\ States,\ United\ Kingdom,\ Canada,\ Japan United\ States,\ United\ Kingdom,\ Denmark,\ Sweden United\ States,\ United\ Kingdom,\ France United\ States,\ United\ Kingdom,\ France,\ Germany,\ Japan United\ States,\ United\ Kingdom,\ Germany United\ States,\ United\ Kingdom,\ India United\ States,\ United\ Kingdom,\ Italy United\ States,\ United\ Kingdom,\ Japan United\ States,\ United\ Kingdom,\ Morocco United\ States,\ United\ Kingdom,\ Spain,\ South\ Korea United\ States,\ Uruguay United\ States,\ Venezuela Uruguay Uruguay,\ Argentina Uruguay,\ Argentina,\ Germany,\ Spain Uruguay,\ Argentina,\ Spain Uruguay,\ Germany Uruguay,\ Guatemala Uruguay,\ Spain,\ Mexico Venezuela Venezuela,\ Colombia Vietnam West\ Germany Zimbabwe",string,string,string,string,string,string,string,string
,,,,meta,meta,meta,meta,meta,meta,meta,meta
TV Show,≥ 2019.5,TV-MA,Brazil,s1,3%,,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi","August 14, 2020",4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
Movie,2016.5 - 2017.5,TV-14,Brazil,s209,A new Capitalism,,,"June 12, 2018",76 min,"Documentaries, International Movies","Entrepreneurs worldwide explore alternatives to current capitalist structures, advocating for profitable businesses that also tackle social inequality."
TV Show,≥ 2019.5,TV-14,Brazil,s219,A Queen Is Born,Carla Barros,"Gloria Groove, Alexia Twister","November 11, 2020",1 Season,"International TV Shows, Reality TV",Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.
Movie,≥ 2019.5,TV-MA,Brazil,s321,Afonso Padilha: Classless,"Junior Carelli, Rudge Campos",Afonso Padilha,"September 3, 2020",63 min,Stand-Up Comedy,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.
TV Show,2016.5 - 2017.5,TV-PG,Brazil,s323,Afronta! Facing It!,Juliana Vicente,"Loo Nascimento, Ingrid Silva, Rincon Sapiência, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpção, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká","October 31, 2020",1 Season,"Docuseries, International TV Shows","This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community."
Movie,2018.5 - 2019.5,TV-MA,Brazil,s395,Alice Junior,Gil Baroni,"Anne Celestino Mota, Emmanuel Rosset, Matheus Moura, Surya Amitrano, Thaís Schier, Cida Rolim, Katia Horn, Igor Augustho, Marcel Szymanski","October 23, 2020",87 min,"Comedies, International Movies, LGBTQ Movies","In a small town, a trans teen with a vibrant personality shakes up her high school's conservative ways while trying to secure her first kiss."
Movie,2016.5 - 2017.5,TV-MA,Brazil,s422,All The Reasons To Forget,Pedro Coutinho,"Johnny Massaro, Bianca Comparato, Regina Braga, Maria Laura Nogueira, Victor Mendes, Thiago Amaral, Rafael Primot, Eduardo Mossri, Rita Batata, Larissa Ferrara","April 19, 2018",90 min,"Comedies, Dramas, International Movies",A Brazilian man tries a myriad of ways to get over his breakup with his girlfriend but is surprised to learn it's more difficult than he anticipated.
Movie,2017.5 - 2018.5,TV-MA,Brazil,s500,Ana e Vitória,Matheus Souza,"Ana Caetano, Vitória Falcão, Clarissa Müller, Bruce Gomlevsky, Thati Lopes, Caique Nogueira, Érika Mader, Victor Lamoglia, Gabriela Nunes, Bryan Ruffo, Hamilton Dias","November 2, 2018",116 min,"Comedies, International Movies, LGBTQ Movies","After meeting by chance, two young musicians with differing views on love and life record an album that drastically alters their lives."
